#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos,
41,Ananped @UC-chqi3Gpb4F7yBqedlnq5g,5.4M,0.30%,Thailand,,1.6M,Ananped,6600000,1499762762,1250,
42,Fun Family @UCJxoFOhK4-0fuwxlk9HpRZA,5.4M,-,Thailand,,1.6M,Fun Family,5890000,2254027540,833,
43,พระนครฟิลม์ Phranakornfilm @UCgbRkU-rkNuUgwVwqRYg-lw,5.3M,-,Thailand,,1.6M,พระนครฟิลม์ Phranakornfilm,5940000,462844027,891,
44,Chickypie @UCIcpITw20T4_cpwVH3QePHQ,5.2M,-,Thailand,,1.6M,Chickypie,5520000,2059453414,1925,
45,TMG Record Channel @UCymN26Slw16Wrb-Dx0SJX-w,5.2M,-,Thailand,,1.6M,TMG Record Channel,5620000,3324167122,727,
46,พอดีม่วน STUDIO @UCpjChoKuoBGQ368LdINenDg,5M,0.10%,Thailand,,1.5M,พอดีม่วน STUDIO ,5380000,2158411435,333,
47,Happy Channel @UCMoDrhE-gWX6v8bYRyLGYmA,5M,-,Thailand,,1.5M,Happy Channel,5340000,2839262392,4219,
48,โหนกระแส (Hone-Krasae) Official @UCXm0bpjlfB0AF-ZdPhT0K1A,5M,0.20%,Thailand,,1.5M,โหนกระแส [Hone-Krasae] official,7350000,2388721234,3431,
49,Dek Jew Chill Out @UCsB8vGD7lRFkZMK4AkLu2Vw,5M,-,Thailand,,1.5M,Dek Jew Chill Out,5290000,4614362285,5709,
50,โฟกัสแอนด์ฟิล์ม แฟมมิลี่แก๊งค์ @UC28FofIlS8vRpgZRC0PMA4A,4.9M,-,Thailand,,1.5M,โฟกัสแอนด์ฟิล์ม แฟมมิลี่แก๊งค์,5990000,3243460100,1979,
51,Aoffy Maxim @UC1XBVkdmE9kfcP3zWtnD0dw,4.8M,-,Thailand,,1.4M,Aoffy Maxim,4790000,1379160163,413,
52,OKyouLIKEs @UCOsosPGGBgWeh2BPML1s5Mw,4.8M,-,Thailand,,1.4M,OKyouLIKEs,4900000,715124055,749,
53,ข่าวช่อง8 @UC6x41swVZP3rEmy-ODxLMFA,4.8M,-,Thailand,,1.4M,ข่าวช่อง8,8060000,2977939808,44226,
54,YOUNGOHM @UCQ9v04cmBdKAUbR4-SH6v2g,4.7M,-,Thailand,,1.4M,YOUNGOHM,5510000,2717408541,100,
55,สวัสดีครับผม แจ็กแปปโฮ @UCUfnk5CgUjykoc-BezLMMIA,4.7M,-,Thailand,,1.4M,สวัสดีครับผม แจ็กแปปโฮ,6920000,1213545255,356,
56,kids song @UC-VBiRZVuOAAxuBIbSTWnHg,4.6M,-,Thailand,,1.4M,เพลงเด็ก น้องนะโม,6570000,3332874104,1805,
57,หม่อมถนัดแดก @UC_iF8sFFnZDDcqe9VnSzyRA,4.5M,0.10%,Thailand,,1.4M,หม่อมถนัดแดก,4820000,1509208061,1859,
