#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
57,หม่อมถนัดแดก @UC_iF8sFFnZDDcqe9VnSzyRA,4.5M,0.10%,Thailand,,1.4M
58,SERNG MUSiC OFFICIAL @UCtqBOzg93aIu8V-VgjRdWnA,4.5M,-,Thailand,Music,1.3M
59,Thibaan Channel @UCiARyB1wacrhQOhhT1K69Wg,4.3M,-,Thailand,,1.3M
60,Sing Music Channel @UCbOCVDOZathZT3kmUcVo8pQ,4.3M,-,Thailand,,1.3M
61,TAM STORY @UCO7TPCxAjB3MSeKTBv3aQiQ,4.3M,-,Thailand,,1.3M
62,ดอยแม่สลอง สื่อสังคมออนไลน์ @UCLb_G1z0A6W3BrDhW9cJmmA,4.1M,-,Thailand,,1.2M
63,VOICE TV @UCpHTAE2EOwWkWGnW2HY8gRw,4.1M,-,Thailand,,1.2M
64,The Snack @UClPhAgp7q-uqKq5Qt0P8OMA,4.1M,-,Thailand,Marketing and Advertising,1.2M
65,Bay Riffer @UCbOo-f3InU38IZV5tREzsNg,4.1M,-,Thailand,,1.2M
66,Wannabe Mee @UCGsvhicQf1Db3I1VfU2qN7A,4M,-,Thailand,,1.2M
67,QueenTubeTH @UCO5rwjHY-jcX-gmzOCSApOQ,4M,-,Thailand,,1.2M
68,fedfeclip @UC5hVaZlIDCmnfq8vC30r-sA,4M,-,Thailand,,1.2M
69,Jannine Weigel @UChFzJ0bYwztKa4H4oF8fOvw,4M,-,Thailand,,1.2M
70,Kids Tv Thailand - เพลงเด็กและการ์ตูน @UC1JZiF288_cx-TyT8ll2XzQ,4M,-,Thailand,,1.2M
71,Fairy Doll TV @UC-WtejgzilicfCBGf9nXOlQ,4M,-,Thailand,,1.2M
72,Maser @UCKWQpPpegzXL7sJDMf2UUJA,3.9M,-,Thailand,,1.2M
73,OfficialWhiteMusic @UCNdqGgAK2u-EucN4IAIqP7Q,3.9M,-,Thailand,,1.2M
74,Nation online @UCIoFfVIOrRRbI-WVdDhTTwg,3.8M,-,Thailand,,1.2M
75,Bearhug @UCOqODGR-AoOTkxB74sc1Xyw,3.8M,-,Thailand,,1.1M
76,Primitive Tool @UC9LymR6i2IM4QfSNuOkBzNA,3.8M,-,Thailand,,1.1M
77,ชีวิตสดใส / Bright Side Thai @UC1heMiOB4n8xeOlgnHbOdbg,3.8M,-,Thailand,,1.1M
78,Ajumma Nammy @UCDWxWFsFiOkI-104ODwAXHw,3.7M,0.50%,Thailand,,1.1M
79,KunTi @UCnaIbiEF7XWNZ3ZsHoqkErg,3.7M,-,Thailand,,1.1M
80,TOR Torpedo @UCvE7UoDDYsX21WRR0lR3Z5g,3.7M,0.10%,Thailand,,1.1M
81,Oppa Thuchy @UCopuDbhVg-4V5X8-XZ6w-bA,3.7M,0.20%,Thailand,,1.1M
82,The Troll Cambodia @UC6ngF2U8nAfJE68GQZ8jxKg,3.6M,1.30%,Thailand,,1.1M
83,Deklaaon Channel @UCXALRk2-YkcpHSm_ZSvZqfw,3.6M,0.10%,Thailand,,1.1M
84,Troom Troom TH @UCZr7drqblTlL3Xr1XvBZxXw,3.6M,-,Thailand,,1.1M
85,CHANGE2561 @UCISGtaTLXAEliMLp1VJZsSg,3.5M,-,Thailand,,1.1M
86,BlackMoon @UCIeIzDsyOOenrw35gK-Dwog,3.5M,-,Thailand,,1.1M
87,SoftpomzChannel @UCHEj6tiT_WSe8Ny0OfcILiA,3.5M,0.10%,Thailand,,1M
88,ขอบสนาม [OFFICIAL] @UCkN80VKrPiKYyz7ByBaRosQ,3.4M,-,Thailand,,1M
89,BabyBus—เพลงเด็กและการ์ตูน @UCKpFt-Nh3A2Sg--mLmCebZQ,3.4M,-,Thailand,,1M
90,NONTAWAT N.T @UCsEp7MiY4llAPrICEFZ3VWg,3.4M,-,Thailand,,1M
91,พี่เสือ มาแล้ว @UC-6N7qlNd4KIzfSy1mrR2kw,3.4M,-,Thailand,,1M
92,ใยไหมชวนเล่น Zanee Family @UCgu4W8FjeCeO8nj38Qg4CSQ,3.4M,-,Thailand,,1M
93,GMMTV RECORDS @UC_mceLIVkQun_Xcu1KBmfdw,3.4M,-,Thailand,,1M
94,Superjeew Official @UCWX9dtRV_sK4TNTAl8yaPTA,3.3M,-,Thailand,,1M
95,Garena RoV Thailand @UCy19QXxbCHh8qVVCbuGk-ig,3.3M,-,Thailand,,1M
96,GTHchannel @UCTL0lRmUQ-rH4YZAteV7LzA,3.3M,0.10%,Thailand,,996K
97,softpomz @UCknUPd53AOtzVCztEXdHNKg,3.3M,0.20%,Thailand,,984K
98,zommarie @UCwRhQ-evbGJFwcTZtm8imLg,3.3M,-,Thailand,Music,981K
99,RachYO @UC2zm8fkAPgYvH7m5LZ2QsRw,3.2M,-,Thailand,,972K
100,Ozrealman @UCcjysEwhh3yIzuZIec275aQ,3.2M,0.40%,Thailand,,969K
